quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,net_foreign_investment_income,simulation_type
1985Q1,3.85806927225616,106.24857717415799,7.457471470968235,8400.837018940188,4230.574278711714,433.88780702224534,77.1402044899719,305.83328537017275,396.05743574427913,1547.6265178645872,9.52,106.24857717415799,0.0933643216007299,481.1622443370972,0.137738886015378,0.25140398067966,393.42840059529766,-171.25514614709468,-93.73170303505582,24.964097217025596,MARL-FRB/US Agent
1985Q2,3.0585956210416043,107.2057466028367,7.540316254269231,8465.320147820496,4290.754060474561,390.2362289221577,74.37638573641198,303.1742139298871,414.9014631414585,1598.3666087083063,9.77,107.2057466028367,0.093606103116105,498.5463776201664,0.137738886015378,0.25140398067966,391.2297542653138,-224.75708980406478,-114.27981738420866,25.4314409800573,MARL-FRB/US Agent
1985Q3,5.374959357640563,107.80793449285515,7.576072725333661,8579.839726614637,4373.173463361847,422.7658235951094,78.65644102815422,295.0159884747554,406.7811189509176,1661.437361965174,10.02,107.80793449285515,0.093845245873345,519.670316871014,0.137738886015378,0.25140398067966,403.73129061885385,-209.15761726252472,-123.41669293961603,19.14961960085181,MARL-FRB/US Agent
1985Q4,2.0618452324271175,108.75821886836421,7.5175859913480085,8624.17966012748,4415.4931775000505,428.8296692208219,40.95696010876595,301.3173829630244,427.8700566055745,1779.4443836582423,9.77,108.75821886836421,0.094081948991726,520.7258106441669,0.137738886015378,0.1514039791895439,407.1374603952782,-253.1996234992709,-135.65106861013297,21.617423966787563,MARL-FRB/US Agent
1986Q1,3.290434605310821,109.09686378245402,7.484391213811148,8695.415502517471,4465.529062348898,427.0983062454201,45.196908342136204,307.2135124821986,425.33228028340835,1828.5462437391918,9.52,109.09686378245402,0.094316411474354,518.8213560973124,0.137738886015378,0.1514039791895439,405.32795604746985,-258.41541127192494,-133.02451474998844,17.95841945677772,MARL-FRB/US Agent
1986Q2,1.234188862565588,108.19710335457685,7.713412515758978,8722.28639832147,4484.6697134835595,431.75197835097447,45.294523874052345,306.4253654455638,426.4130360154476,1900.15830190376,9.77,108.19710335457685,0.094548831328599,543.9364651500492,0.137738886015378,0.1514039791895439,422.80097667668906,-282.3299307000313,-139.3977200093423,9.79645387747207,MARL-FRB/US Agent
1986Q3,2.9492616065454063,108.35507207391362,7.640714716339114,8786.834829651556,4519.82260123869,442.7871886230647,44.49990086695892,308.1853702337091,435.7289664091192,1985.8230677284116,10.01,108.35507207391362,0.094779403553268,571.8810274139455,0.137738886015378,0.1514039791895439,430.8564371593965,-292.3972371204964,-148.53915633727533,10.100227038369583,MARL-FRB/US Agent
1986Q4,0.8841193927707991,108.40467799954715,7.6568104793259035,8806.277836845527,4530.093119071442,459.4887959791207,49.67069138423993,317.441445768664,437.49346907354186,2091.898466475607,10.26,108.40467799954715,0.095008322742147,632.38146286474,0.137738886015378,0.1514039791895439,428.8750806383734,-269.4053384578111,-152.86815837255133,1.9031374520992281,MARL-FRB/US Agent
1987Q1,1.6708758026304342,108.74135306120696,7.571624093150942,8843.140265291471,4544.173650022846,453.60330068942267,44.373786141324416,313.2130001171818,438.2170909521335,2150.1410460996035,10.01,108.74135306120696,0.0952357834586189,636.2619554379464,0.137738886015378,0.1514039791895439,428.2516589433244,-323.5159867970458,-151.93785770460374,2.558496494469086,MARL-FRB/US Agent
1987Q2,2.99391434368843,108.69960712802127,7.382490139303211,8909.577600952964,4564.462176442424,515.9289205471392,46.130073134506745,324.2068491841697,453.77662615076133,2226.4232868000217,9.76,108.69960712802127,0.09546197841408,646.4885075647004,0.137738886015378,0.1514039791895439,430.52673759412943,-284.0221373686246,-154.34066888056864,5.290756749896959,MARL-FRB/US Agent
1987Q3,2.8160086338296253,108.24180122209201,7.1968321475942565,8972.52252641774,4573.140907410561,496.0042912541037,41.66983327641078,331.92721988043405,460.4931529820169,2302.8231529156446,9.51,108.24180122209201,0.095687097175186,643.5196480847425,0.137738886015378,0.1514039791895439,429.1598118115184,-304.4686376460769,-154.84031960429314,5.0376973795298,MARL-FRB/US Agent
1987Q4,6.407237628770446,107.32067580817909,7.118144717486907,9117.40248898937,4612.648366747356,517.076020675789,31.181764975288825,341.6569201677489,472.1345026944434,2423.7889155196135,9.27,107.32067580817909,0.0959113255091459,655.8464545177346,0.137738886015378,0.1514039791895439,432.45819815687724,-316.2035894921739,-161.54233572425667,5.946135763994017,MARL-FRB/US Agent
1988Q1,2.2953932556397665,105.89842282598379,6.957917091773392,9169.872955901203,4591.979277963561,515.192025677298,22.657935243768964,355.2984639749144,469.5544047477215,2501.727422853322,9.02,105.89842282598379,0.096134843792022,633.2793528341658,0.137738886015378,0.1514039791895439,438.26801503348884,-316.5217507885159,-135.13230642989237,9.372309189439692,MARL-FRB/US Agent
1988Q2,5.457103755733072,104.5284955007002,6.797669292199471,9295.832591087972,4603.045181193574,515.279755909528,17.13576149681269,362.0595688204478,464.97538507705417,2568.8530619443777,9.27,104.5284955007002,0.096357826789835,629.0876162651828,0.137738886015378,0.1514039791895439,430.9244589512943,-313.7864127792339,-126.24241624398572,5.346926237282201,MARL-FRB/US Agent
1988Q3,2.8483968454537494,102.92919892110834,6.772708604441924,9362.264391099432,4582.34312655066,527.3818028259788,10.008353447296704,362.1058473295739,462.90825822463734,2668.1825846925053,9.02,102.92919892110834,0.096580444382951,625.2533797999162,0.137738886015378,0.1514039791895439,426.14514955153294,-313.0503430496477,-127.35118205617253,2.17103741913725,MARL-FRB/US Agent
1988Q4,6.217342786749214,100.93156672084746,6.574911043244858,9508.922233496929,4573.1701467000985,542.1134333933951,9.259295818569203,360.5511100210754,472.1643374432381,2785.1752401991057,9.27,100.93156672084746,0.096802859798957,646.2034463537698,0.137738886015378,0.1514039791895439,423.9029069950533,-308.51219725813263,-143.2096754598628,3.169012323680874,MARL-FRB/US Agent
1989Q1,5.326967547728856,98.76704770072877,6.355395526066009,9636.403510558344,4553.32834374494,581.792454351176,10.304764214078624,362.5247283866057,474.36812185059335,2854.0111478665226,9.04,98.76704770072877,0.097025228567002,632.4957810499781,0.137738886015378,0.1514039791895439,424.4868918641961,-271.05344482558905,-138.5824675430841,2.7802859249801535,MARL-FRB/US Agent
1989Q2,5.123174698999122,96.92626437125519,6.173510023557437,9760.619735908844,4524.822566526056,600.5131026382863,8.597937628722313,366.6621304542135,474.29805410841846,2892.293399282807,8.79,96.92626437125519,0.0972476984349219,648.4958398277232,0.10773888668593026,0.1514039791895439,414.2089792637239,-252.73776325097293,-133.5091496355389,1.7854474058551324,MARL-FRB/US Agent
1989Q3,5.116721118579193,94.20506516070724,5.994992750465955,9886.277640863847,4479.52335125103,611.3900199659728,7.431806310184838,355.99778519315157,457.5544313494044,2960.2264079075053,9.04,94.20506516070724,0.097470410529858,654.338516442492,0.10773888668593026,0.14140397941306132,407.97123218038814,-223.8692628714315,-130.98631458002825,-0.05383012058492242,MARL-FRB/US Agent
1989Q4,0.787149208384363,125.86,5.527272945071893,9938.767,5747.237,582.5450000000001,113.467,515.387,598.152,2550.522,9.29,125.86,0.097693498184026,579.4732966342439,0.10773888668593026,0.14140397941306132,525.396,-170.29,-95.09999999999998,30.79900000000001,MARL-FRB/US Agent
1990Q1,3.529373788938984,127.92180590630498,5.298703247408887,10026.849081142254,5915.274606415499,578.7507548415766,108.79556164364139,539.9574233319877,620.6269398387548,2610.497017320023,9.04,127.92180590630498,0.097917087185875,592.7538451814984,0.10773888668593026,0.14140397941306132,545.5488855255536,-221.40559062415988,-88.85364618596871,27.728315361429487,MARL-FRB/US Agent
1990Q2,1.549606525090042,128.9090864944045,5.324850807565794,10065.768596791753,5991.5738204077325,593.5446731983853,102.11465669986538,544.0072936301326,602.1963154421387,2663.3581595377614,8.79,128.9090864944045,0.0981412966055069,593.61504538602,0.10773888668593026,0.14140397941306132,559.1624933672657,-238.39700255812582,-76.17525138681287,23.22543261512161,MARL-FRB/US Agent
1990Q3,0.48203086444686916,130.66855503814912,5.698483776075503,10077.90593638338,6029.228639705594,599.6428503452694,100.52392410025617,549.029595501938,618.5054073810851,2750.013696552897,8.54,130.66855503814912,0.098366239508024,589.1012269649228,0.19773889026220895,0.14140397941306132,564.7118663598931,-234.02418534812568,-87.71149203824963,20.288412340181555,MARL-FRB/US Agent
1990Q4,-1.9826998559963727,132.35587536833341,5.974900790464909,10028.075879344367,6019.773844456529,603.366021553444,93.92308141042886,558.170881438702,638.0927023858114,2865.692738372597,8.29,132.35587536833341,0.09859202347521,370.47385685798713,0.19773889026220895,0.14140397941306132,571.7661200786927,-240.53315429604785,-63.03550792003754,45.353180483421575,MARL-FRB/US Agent
1991Q1,-0.22252004309422135,132.76219873141838,6.28045724963463,10022.498811057969,6051.944285885178,588.0747691693645,81.3132206191536,558.5431276393391,614.11425669838,2878.841779334113,8.54,132.76219873141838,0.098818749974459,876.8528175947848,0.19773889026220895,0.14140397941306132,510.3245605771001,-74.57588914400337,21.84936500686967,29.990522548315724,MARL-FRB/US Agent
1991Q2,3.8071019546549674,132.92043635183006,6.513742002915989,10118.345899092648,6130.775962763345,587.9242202360214,71.82231031116625,569.9773542569711,607.2984919109028,2993.611602973505,8.44,132.92043635183006,0.099046514120711,883.2755807519329,0.19773889026220895,0.14140397941306132,571.3168801484591,-466.72739274244725,-17.07144117252145,15.543187182233856,MARL-FRB/US Agent
1991Q3,2.1434340959750386,133.27516506004045,6.582575917728127,10172.7114492077,6185.4569683547015,612.0811528413362,67.55687885290888,573.2709194056116,609.7979688846513,3164.8716160392037,8.69,133.27516506004045,0.099275393514098,875.000080838142,0.19773889026220895,0.14140397941306132,602.0935678749339,-485.51196146288044,-47.90950282908758,9.218033515694597,MARL-FRB/US Agent
1991Q4,0.9280281695644983,133.6553684714617,6.89861704458341,10196.340255820736,6207.720861805607,638.9013731583308,62.67772635278904,580.1744847904574,618.7285974938952,3334.7279309866863,8.44,133.6553684714617,0.09950545709083,856.5215025534263,0.19773889026220895,0.14140397941306132,633.6213998935716,-497.7728745134062,-56.34873527153443,13.571963797597736,MARL-FRB/US Agent
1992Q1,3.861931389130291,133.72016406457433,7.300944075994387,10295.26093472259,6256.625524794061,646.272915875429,64.43590806965894,581.6334620920159,615.3293067651422,3469.614858713468,8.69,133.72016406457433,0.0997367690789419,862.2429915458292,0.19773889026220895,0.14140397941306132,667.037042801044,-533.7347769468323,-62.08668159775023,8.080268945535305,MARL-FRB/US Agent
