,MSE,MAE,RMSE,Relative_MAE_pct,Relative_RMSE_pct,N_obs,FTPL_mean,Non_FTPL_mean
picxfe,0.010942562803182412,0.07740182276533332,0.10460670534522351,3.7435435641694763,5.059309258792723,100.0,1.9682228742963608,2.0456246970616947
rff,0.3143738232504322,0.05608574769531664,0.5606904879257648,2.9237752032581543,29.22904681962467,100.0,1.9743504498787585,1.9182647021842383
xgap2,0.07922887868567845,0.06491038863026563,0.28147624888377076,3.2899673238150893,14.266555489792013,100.0,-1.1008911230821254,-1.0975708313518757
gfsrpn,40946.04015251255,142.01445976161168,202.3512790977921,15.423362994767785,21.976193376503225,100.0,-811.2739750972122,-903.5359096297335
gfdbtnp,1179846.13820283,825.6149847842494,1086.207226178702,6.990179549501511,9.196518569656629,100.0,11053.354369943158,11811.069786370885
xgdp,47633.827514468554,204.567109038813,218.2517526034294,1.1340113823684308,1.2098717767341036,100.0,17834.6794293483,18039.24653838711
lur,0.020919591868872035,0.09041864569812341,0.14463606697111214,1.5825353982475063,2.5314656515567835,100.0,5.803949338171269,5.713530692473147
pieci,0.012962760523469534,0.08454280827352463,0.11385411948396744,2.8062147809662803,3.779140053357614,100.0,2.9281563210644475,3.012699129337973
rrff,0.33869911456121365,0.13520970535050889,0.5819786203643684,8.980610546159335,38.65494212959496,100.0,0.013524670457905414,-0.12168503489260342
ugfdbtp,0.0,0.0,0.0,0.0,0.0,100.0,1.00195240739613,1.00195240739613
egfe,52.54113312390198,6.14677926485918,7.248526272553751,0.7249237401358594,0.8548588699147123,100.0,841.7740328894232,847.9208121542827
egfet,16.716543622480398,3.3658946779291945,4.088586995831249,0.3969571370100118,0.48218793027714546,100.0,844.974839106316,847.9239605772102
trcit,0.00017989488980096107,0.005471799410079275,0.013412490067133733,3.094221063902424,7.584563353813801,100.0,0.18016011648391253,0.17683931745905235
trptx,0.0004711650150364585,0.010035553122544944,0.021706335827045026,7.285925865136236,15.759047030931844,100.0,0.14196377920987813,0.137738886015378
