quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2024Q1,1.55543883554472,310.9495033023209,3.787235941958993,23050.05834331885,28619.556545391166,3001.779815050694,622.4781152902,3125.4417520874845,3966.3284162423292,30036.967197921356,5.327743731404392,310.9495033023209,0.156843170927778,1028.5682051528358,0.23773888750549413,0.164182982101631,4084.8061144464154,-1738.037451061768,-840.8866641548448,AI Decision Makers/FRBUS
2024Q2,2.895875936513903,313.1644453884614,3.972826677770795,23217.5391395424,29008.47720056952,3056.7167849914645,641.4899223580111,3154.3775259219406,4058.9103588872817,30146.71104938524,5.323988311614612,313.1644453884614,0.156843170927778,1043.217405953409,0.3377388889956102,0.164182982101631,4185.583370802361,-1747.899660027082,-904.5328329653412,AI Decision Makers/FRBUS
2024Q3,1.3934572801669196,315.4667031301882,4.306099023315845,23298.561806993464,29190.619952406898,3041.287043035494,643.5673612975306,3167.0940801253546,4147.462299248022,30208.78428326622,4.935524317423723,315.4667031301882,0.156843170927778,1060.1308572957378,0.3377388889956102,0.16236004854698163,4270.069437474289,-1908.2531658651383,-980.3682191226671,AI Decision Makers/FRBUS
2024Q4,1.9969785716928545,317.25630660036006,4.410231823287865,23415.169465270388,29426.052704442176,3172.513353301196,658.1741452584153,3193.2294302326504,4232.594011559714,30718.5079883231,4.548224970770278,317.25630660036006,0.156843170927778,1072.7393810008348,0.3377388889956102,0.16236004854698163,4355.063364112686,-1887.8655744686967,-1039.3645813270637,AI Decision Makers/FRBUS
2025Q1,1.9900510882352576,319.3327371254759,4.458932304321172,23531.953189961918,29690.779140191527,3297.889459627618,1076.6825557639463,3226.578803292366,4316.417779412359,31115.100190247336,4.229794720512204,319.3327371254759,0.156843170927778,1084.526208789177,0.3377388889956102,0.2623600500370977,4436.44197304217,-1468.8600068833025,-1089.8389761199928,AI Decision Makers/FRBUS
2025Q2,1.3598968034323844,321.60496856931775,4.5303366986737075,23612.091908132683,29923.229509733694,3382.3247435383237,667.5843552230673,3268.348305136614,4383.536839608723,31630.050383345842,3.956604540721174,321.60496856931775,0.156843170927778,1095.9189946861225,0.3377388889956102,0.1623600485469816,4518.851996459387,-1907.2229375568973,-1115.1885344721095,AI Decision Makers/FRBUS
2025Q3,2.3781697113251954,323.9789932142687,4.469563244870234,23752.893961864847,30249.692230331515,3513.8435571082573,435.38343132975666,3318.503754000316,4441.547180124498,32198.675396220096,3.7017708277221497,323.9789932142687,0.156843170927778,1106.1141510571658,0.3377388889956102,0.10434780146141032,4596.641654587159,-2106.018566335859,-1123.0434261241817,AI Decision Makers/FRBUS
2025Q4,2.4051144717590067,326.36666753291183,4.395023732563078,23896.145272536498,30582.94212058842,3668.854642375227,443.9734788228695,3374.8310403285595,4525.602367270655,32747.103615659948,3.463669020128171,326.36666753291183,0.156843170927778,1115.4684428689206,0.3377388889956102,0.10434780146141032,4668.583227553075,-2031.2156276063083,-1150.7713269420956,AI Decision Makers/FRBUS
2026Q1,2.3724714889355396,328.6753865789663,4.322881428470585,24038.298732934603,30907.313973681223,3828.013079092772,451.5193274080457,3436.0121038125217,4608.372123731322,33271.186421464365,3.300351272043907,328.6753865789663,0.156843170927778,1124.0641963496569,0.3377388889956102,0.10434780146141032,4733.983320157442,-1941.0474289080014,-1172.3600199188004,AI Decision Makers/FRBUS
2026Q2,2.098494030981207,330.93547606540125,4.279553205331638,24164.740681064974,31211.023430098827,3987.516450499905,455.3984886834584,3501.8465900302117,4683.3092165954195,33770.08385458745,3.199676955592065,330.93547606540125,0.156843170927778,1131.989284503253,0.23774730666156862,0.10434780146141032,4795.7552332895575,-1847.7682706773649,-1181.4626265652078,AI Decision Makers/FRBUS
2026Q3,10.744852015034377,333.17815195477084,3.293541756866576,24822.65400352084,32232.53508730095,4247.690836962037,549.518898457564,3568.35137754024,4863.403946283581,34979.471762857705,3.4273257680554514,333.17815195477084,0.2511351634133012,1136.8112422845359,0.3250032092499361,0.10434780146141032,7828.094684943669,-4479.214475115563,-1295.052568743341,AI Decision Makers/FRBUS
2026Q4,-6.7817765561099055,335.46750093143163,4.158603704317409,24405.347367799855,31789.797096724604,4565.667832155391,450.8713462141652,3642.129435112236,4990.240044070919,35315.21084820719,3.2712519048662,335.46750093143163,0.1511351619231851,1146.3884638665456,0.3250032092499361,0.10434780146141032,4698.162004497187,-1243.4780939935513,-1348.1106089586829,AI Decision Makers/FRBUS
2027Q1,11.806766662443447,337.7670811333603,3.0246523341093665,25136.45491173962,32933.79165363307,4811.656455421661,564.0196782710782,3728.262961011736,4962.272859803294,36409.72650539877,3.5590626537678105,337.7670811333603,0.25062399397970747,1149.4934077523533,0.3250032092499361,0.10434780146141032,7948.938029071258,-4053.761693100696,-1234.0098987915576,AI Decision Makers/FRBUS
2027Q2,-8.544671746464056,340.1420859815465,4.087872782459067,24605.192551643493,32375.62068730261,5081.3389316779685,444.16824487114906,3807.614935780074,5093.010520105953,36639.40957366403,3.4650720549519853,340.1420859815465,0.15062399248959135,1158.48139967278,0.3250032092499361,0.10434780146141032,4765.542460332494,-850.6780304670767,-1285.395584325879,AI Decision Makers/FRBUS
2027Q3,3.405158931966506,342.4939702511421,3.911058662073023,24815.548126885104,32810.19835619665,5184.583881424644,470.3088835558623,3901.9711449602123,4906.00785805993,36840.53361737822,3.439468179693096,342.4939702511421,0.15062399248959135,1163.3017347122347,0.3250032092499361,0.10434780146141032,4819.093308200231,-744.9038657090923,-1004.0367130997179,AI Decision Makers/FRBUS
2027Q4,0.037443156519767484,344.8723127203819,4.1227688809740695,24817.871166814806,33004.72575716668,5245.751928517874,452.1634727639436,3981.137755956854,4973.927546406874,37057.28074190836,3.345121675962652,344.8723127203819,0.15062399248959135,1168.7050380245416,0.3250032092499361,0.10434780146141032,4903.2034464882645,-802.7671280769282,-992.7897904500201,AI Decision Makers/FRBUS
2028Q1,2.7555335610617626,347.24875087917195,4.084735281384002,24989.427592450935,33387.31012852018,5328.597858731041,465.20948551265013,4061.5967194890122,4995.053248148027,37261.85438755145,3.2866695828963914,347.24875087917195,0.15062399248959135,1173.4366464459338,0.3250032092499361,0.10434780146141032,4958.768151214485,-757.6801690495513,-933.4565286590146,AI Decision Makers/FRBUS
