quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,simulation_type
1970Q1,2.368065658,38.12903962,4.60904455,5340.076735,1055.962681,108.7730162,47.19747098,59.89822912,54.40267775,307.1636829,8.800569781,38.12903962,0.069012844,332.6756966,0.237738888,0.448013437,66.09280017,5.00968251,AI Decision Makers/FRBUS
1970Q2,11.09597464,38.62782939,4.238722528,5490.283861,1096.212039,111.7639551,53.37606873,63.72947514,57.11806984,317.0695884,9.04854728,38.62782939,0.168968515,317.6161469,0.137738916,0.448013437,175.5164546,-86.22277096,AI Decision Makers/FRBUS
1970Q3,3.79214012,39.0292689,4.542867535,5542.581182,1123.119966,121.8658522,57.01907642,67.67399931,61.25055694,333.0855793,9.2272045,39.0292689,0.168968515,306.0431847,0.237738858,0.448013437,179.4309895,-71.13196138,AI Decision Makers/FRBUS
1970Q4,12.31056081,39.47505301,3.723498581,5715.813956,1171.530548,133.8890764,65.53493703,71.95293339,64.26108572,373.7630469,9.664881561,39.47505301,0.268583634,295.4420433,0.24262702,0.448013437,294.3808326,-159.9104979,AI Decision Makers/FRBUS
1971Q1,11.42161996,39.8065029,2.914750573,5881.376079,1224.444651,155.0919468,72.32183804,76.21592463,69.39716641,428.9845107,10.33805367,39.8065029,0.368583606,286.5189492,0.342626991,0.448013437,414.4276005,-250.778498,AI Decision Makers/FRBUS
1971Q2,-0.047315781,40.09552293,3.374561086,5880.680415,1243.577903,183.6143587,71.73686132,80.8963836,72.41156353,446.0488504,10.75866614,40.09552293,0.268611052,280.1183953,0.242627005,0.448013437,303.9518904,-115.2485919,AI Decision Makers/FRBUS
1971Q3,14.09089736,40.45582052,2.002561328,6091.532642,1295.505494,206.3339735,77.71952441,86.55485529,71.89627891,494.9347761,11.54716718,40.45582052,0.368609683,273.8373759,0.142627003,0.448013437,425.5280872,-204.3646624,AI Decision Makers/FRBUS
1971Q4,6.757076422,40.87956632,1.566919112,6195.309085,1332.630768,235.0629549,80.459569,81.98808119,75.06851419,567.3669696,12.35931981,40.87956632,0.444247791,268.8314906,0.242619539,0.448013437,523.015104,-273.5203444,AI Decision Makers/FRBUS
1972Q1,6.866419495,41.17322548,0.999065383,6302.576104,1385.104172,273.1908322,88.06311228,95.53524367,87.34723985,620.1127162,13.20502785,41.17322548,0.444247791,264.6838838,0.338494169,0.448013437,536.0208389,-246.179333,AI Decision Makers/FRBUS
1972Q2,-1.258111004,41.57474865,1.448298419,6282.783896,1391.851208,310.8290701,81.01616789,96.3511919,86.21288328,617.2056591,13.72979472,41.57474865,0.34506926,262.1863397,0.23849422,0.448013437,416.7473753,-103.0467173,AI Decision Makers/FRBUS
