quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2022Q1,-1.0272171106720407,284.916352693504,3.848997171483028,21904.065134940254,25220.97362440561,3290.6252481752217,540.0996010444683,2847.451531809519,3916.353568425356,26038.334832396962,1.1237315032488477,284.916352693504,0.152780432637255,978.5437988445299,0.137738886015378,0.150832901061779,3807.2882199295796,-906.2706685298765,-1068.902036615837,FRBUS-Based Simulation - With Tariff
2022Q2,0.280619316335873,291.7516,3.672349672514152,21919.222,25805.791,3332.031,574.71,3071.551,4093.663,26070.381,0.758571428571428,291.7516,0.153361834908307,971.7070701670804,0.137738886015378,0.15266150188567,3832.402,-907.8920000000002,-1022.1120000000001,FRBUS-Based Simulation - With Tariff
2022Q3,2.683809092822287,295.5125151515152,3.566360249035316,22066.784,26272.011,3258.703,561.226,3102.55,3988.447,26488.094,2.2009375,295.5125151515152,0.153942757869117,971.1711310770372,0.137738886015378,0.154532068202416,3903.022,-1052.542,-885.8969999999999,FRBUS-Based Simulation - With Tariff
2022Q4,3.297680891456878,298.4498923076923,3.581549507468174,22249.459,26734.277,3236.845,569.086,3046.718,3897.402,26851.376,3.649672131147545,298.4498923076923,0.154523293568654,1002.952888596072,0.137738886015378,0.156433452145118,3967.501000000001,-1223.287,-850.6840000000002,FRBUS-Based Simulation - With Tariff
2023Q1,2.758640643496335,301.2019076923077,3.514793220771528,22403.435,27164.359,2869.036,592.933,3060.562,3874.21,27248.228,4.521935483870969,301.2019076923077,0.155103527996035,1016.738084185386,0.137738886015378,0.158355983382441,4001.965,-1637.544,-813.6480000000001,FRBUS-Based Simulation - With Tariff
2023Q2,2.420556878615088,303.4784769230769,3.559571060566213,22539.418,27453.815,2864.103,591.864,2995.524,3799.003,27766.009,4.98730158730159,303.4784769230769,0.155683540408126,1013.457944064284,0.137738886015378,0.160291748132074,4037.59,-1659.479,-803.4790000000003,FRBUS-Based Simulation - With Tariff
2023Q3,4.263290657979013,306.0390307692307,3.697013724309728,22780.933,27967.697,2901.328,617.7819999999999,3062.041,3843.132,28668.652,5.262380952380953,306.0390307692307,0.156263401225584,1031.586349159069,0.137738886015378,0.162235295151518,4016.667000000001,-1677.18,-781.0909999999999,FRBUS-Based Simulation - With Tariff
2023Q4,3.142315741588675,308.0891076923077,3.761732361160697,22960.6,28296.967,2930.194,631.6899999999999,3091.748,3882.899,29471.81,5.330000000000001,308.0891076923077,0.156843170927778,1032.317649524126,0.137738886015378,0.164182982101631,3992.031,-1691.417,-791.1509999999998,FRBUS-Based Simulation - With Tariff
2024Q1,1.615940079437905,310.9495230769231,3.78071766691872,23053.545,28624.069,3002.343,630.25,3125.421,3966.989,30039.201,5.330000000000001,310.9495230769231,0.157422896349457,1028.553609866697,0.137738886015378,0.166132728153065,4101.540999999999,-1746.147,-841.5680000000002,FRBUS-Based Simulation - With Tariff
2024Q2,2.945050185764586,313.1647538461539,3.960745373745156,23223.906,29016.714,3058.579,657.395,3154.321,4061.192,30153.18,5.33,313.1647538461539,0.158002607514334,1043.192608293909,0.137738886015378,0.168083120158519,4219.362,-1763.642,-906.8710000000001,FRBUS-Based Simulation - With Tariff
