quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2022Q1,-1.0907681690987658,284.9157531792416,3.855659145353105,21900.58534507004,25211.6218110892,3288.560481151044,544.3450283786433,2848.713970440688,3925.072683164329,26033.721076663576,0.124354838709677,284.9157531792416,0.152198453820738,978.5549581465708,0.23773888750549413,0.149060621433643,3791.9097865718486,-889.7025848171918,-1076.358712723641,AI Decision Makers/FRBUS
2022Q2,0.22563525538288354,291.7512949485182,3.6844947549758564,21912.942690476786,25798.20458378527,3330.163623014173,888.5791250545129,3071.5939306441087,4091.263803983835,25975.884361367098,0.7542454947933042,291.7512949485182,0.152198453820738,971.6838263998369,0.3377388889956102,0.24757853853025782,3802.551121383039,-566.3060125016397,-1019.6698733397261,AI Decision Makers/FRBUS
2022Q3,2.046812450838331,295.511436964014,3.6475345228785203,22025.359274597373,26220.770346399357,3221.615547944083,530.9891303144815,3102.7593085695703,3978.283702531465,26399.43575954935,2.1689453198202004,295.511436964014,0.152198453820738,971.3116608231503,0.3377388889956102,0.1475785370401417,3857.9825306298735,-1075.5437305810128,-875.5243939618949,AI Decision Makers/FRBUS
2022Q4,3.6322899291874933,298.4455010872054,3.6260293541965654,22226.27635703996,26705.6996255256,3200.6994677080193,536.23168094709,3046.8783981715883,3880.5584262045422,26764.428836838757,3.6067074871828835,298.4455010872054,0.152198453820738,1002.9956840781474,0.3377388889956102,0.1475785370401417,3907.6524387239,-1229.9026527751644,-833.6800280329539,AI Decision Makers/FRBUS
2023Q1,2.764005812437631,301.19519603117465,3.5626014530024532,22380.392107446685,27135.871176707627,2832.0780472481642,546.3607447993373,3059.897959138892,3865.257301282307,27162.836638261244,4.4698589565203815,301.19519603117465,0.152198453820738,1016.7865143484524,0.3377388889956102,0.1455256562165295,3926.0781269133654,-1642.6123445388423,-805.3593421434148,AI Decision Makers/FRBUS
2023Q2,2.6148760054653057,303.46933245995336,3.587854608445162,22527.1762383779,27437.36874145593,2827.9179077373387,540.0317459821849,2994.503968330267,3793.169738273027,27678.043510767984,4.934707700662133,303.46933245995336,0.152198453820738,1013.4705332921728,0.3377388889956102,0.1455256562165295,3945.130058617275,-1650.845713201341,-798.6657699427601,AI Decision Makers/FRBUS
2023Q3,4.203966991196495,306.02830546423087,3.7320791666913964,22765.18352932835,27946.750315482088,2862.78468602117,556.204135965154,3060.835126964318,3840.539614968189,28575.214046468118,5.207122823918784,306.02830546423087,0.152198453820738,1031.6121150666067,0.3377388889956102,0.1455256562165295,3906.6269845328056,-1662.4615744051368,-779.7044880038711,AI Decision Makers/FRBUS
2023Q4,3.1077990713903603,308.0762785381005,3.802107781259907,22942.746464098258,28272.821968020107,2889.1245842463836,559.7773585780183,3090.7237976712872,3879.032496112528,29371.096028375214,5.271355941596123,308.0762785381005,0.152198453820738,1032.34919233347,0.3377388889956102,0.1455256562165295,3862.8291621026674,-1669.0471853995455,-788.3086984412407,AI Decision Makers/FRBUS
2024Q1,1.572941807496164,310.93410542713417,3.827880210430087,23033.143096144206,28596.205782978526,2957.2544310949343,920.5876886817704,3124.628940623346,3962.251893732524,29827.735838827877,5.266952589383516,310.93410542713417,0.152198453820738,1028.5899572710418,0.3377388889956102,0.2455256577066456,3953.2103176048477,-1345.1501667121886,-837.6229531091781,AI Decision Makers/FRBUS
2024Q2,2.2582960067012436,313.1460466443725,4.083380084777157,23163.55000921103,28936.401450263795,2973.2091077437203,562.56765040449,3153.9623332958417,4048.230059169371,29945.133487583735,5.237672536713575,313.1460466443725,0.152198453820738,1043.3996718410617,0.3377388889956102,0.1455256562165295,4052.330759755057,-1766.8169069159503,-894.2677258735293,AI Decision Makers/FRBUS
